rank,etf_code,etf_name,n_stocks,n_covered,coverage,rev_growth_2026,rev_growth_2027,rev_growth_2028,op_growth_2026,op_growth_2027,op_growth_2028,fwd_per,fwd_pbr,fwd_roe,composite_score
26,396500,TIGER 반도체TOP10,11,9,83.0,125.73,31.57,4.66,364.51,32.78,2.97,37.84,2.47,24.59,41.15
27,315930,KODEX Top5PlusTR,11,10,99.5,131.45,26.62,3.82,351.92,24.07,3.64,24.99,1.39,22.16,41.13
28,315960,RISE 대형고배당10TR,11,10,99.8,130.35,25.19,3.47,341.04,23.17,3.53,20.25,1.3,22.3,41.11
29,122090,PLUS 코스피50,51,47,98.8,108.36,24.75,6.98,375.09,29.93,6.61,41.82,1.54,20.41,41.11
30,395160,KODEX AI반도체,25,21,84.7,112.51,30.28,5.85,470.12,31.77,5.32,82.09,2.8,23.36,41.02
31,337160,KODEX 200ESG,112,105,99.5,108.25,25.35,6.92,370.62,26.6,5.99,39.28,1.53,20.4,41.0
32,0167A0,SOL AI반도체TOP2플러스,11,10,99.8,79.9,24.8,16.09,340.98,31.07,12.03,36.1,1.75,24.83,40.97
33,395270,HANARO Fn K-반도체,21,17,90.9,103.28,25.22,7.77,315.33,37.53,13.33,34.05,2.06,20.37,40.95
34,305540,TIGER 2차전지테마,30,21,92.3,16.89,24.83,15.93,110.32,236.15,55.43,182.24,4.49,-6.62,40.91
35,0177R0,TIGER 반도체TOP10커버드콜액티브,13,11,90.9,108.57,27.51,11.1,343.13,30.98,7.08,36.89,2.13,25.43,40.89
36,0005G0,ITF K-AI반도체코어테크,21,18,99.3,95.06,26.35,8.72,305.57,38.51,14.31,34.17,2.15,18.93,40.86
37,140950,파워 코스피100,101,93,98.7,100.62,24.05,7.16,353.1,29.89,7.45,42.33,1.55,19.6,40.79
38,495550,SOL 코리아밸류업TR,100,86,97.2,126.55,28.04,4.16,305.87,26.52,3.94,19.37,1.52,24.85,40.79
39,237350,KODEX 코스피100,101,93,98.7,100.49,24.03,7.18,352.88,29.92,7.45,42.43,1.56,19.57,40.79
40,472150,TIGER 배당커버드콜액티브,90,73,77.5,96.34,24.06,7.29,340.75,27.74,6.32,35.47,1.6,19.53,40.77
41,495330,1Q 코리아밸류업,100,86,97.8,125.91,27.96,4.16,305.02,26.44,3.94,19.35,1.52,24.75,40.77
42,0094M0,RISE 코리아밸류업위클리고정커버드콜,99,86,97.9,125.68,27.93,4.19,304.68,26.46,3.98,19.35,1.52,24.76,40.77
43,495850,KODEX 코리아밸류업,100,86,97.8,125.81,27.92,4.18,304.94,26.46,3.98,19.34,1.52,24.77,40.77
44,495750,HANARO 코리아밸류업,100,86,97.6,125.75,27.93,4.19,304.84,26.47,3.99,19.34,1.52,24.77,40.77
45,496080,TIGER 코리아밸류업,100,86,97.4,125.74,27.93,4.18,304.68,26.46,3.98,19.32,1.52,24.76,40.77
46,495040,PLUS 코리아밸류업,100,86,97.0,125.98,27.97,4.14,305.21,26.4,3.9,19.35,1.52,24.76,40.77
47,496090,KIWOOM 코리아밸류업,100,86,97.8,125.66,27.92,4.19,304.72,26.46,3.98,19.33,1.52,24.76,40.77
48,495050,RISE 코리아밸류업,100,86,97.0,124.94,27.85,4.15,304.26,26.28,3.92,19.36,1.51,24.59,40.75
49,448100,WON 200,193,170,98.7,97.47,23.92,7.3,346.6,29.74,7.81,41.3,1.67,19.25,40.74
50,0104N0,TIGER 200타겟위클리커버드콜,197,171,95.1,97.59,23.95,7.28,346.03,29.74,7.85,41.33,1.68,19.3,40.73
51,494890,KODEX 200액티브,192,170,98.8,96.62,23.83,7.45,345.83,29.59,7.96,41.11,1.7,19.28,40.73
52,102110,TIGER 200,196,172,98.7,97.4,23.94,7.31,345.95,29.73,7.83,41.46,1.67,19.26,40.73
53,434960,DAISHIN343 K200,196,172,97.8,97.02,23.87,7.34,345.27,29.74,7.88,41.47,1.67,19.22,40.72
54,275300,KODEX 우량주,122,102,97.6,98.51,24.68,9.0,314.92,27.89,7.18,27.4,2.1,24.65,40.72
55,105190,ACE 200,195,171,96.9,96.82,23.83,7.35,345.18,29.72,7.88,41.39,1.67,19.25,40.72
56,332500,ACE 200TR,195,170,96.4,96.82,23.84,7.36,345.32,29.7,7.91,41.46,1.67,19.24,40.72
57,069660,KIWOOM 200,189,168,98.5,97.13,23.88,7.34,345.37,29.72,7.86,41.49,1.68,19.25,40.72
58,0007N0,아이엠에셋 200,196,172,98.5,96.86,23.85,7.35,344.45,29.75,7.9,41.39,1.68,19.21,40.71
59,491220,PLUS 200TR,195,171,98.7,96.86,23.84,7.35,344.75,29.73,7.89,41.44,1.68,19.21,40.71
60,491700,HK 200,196,172,97.0,96.92,23.85,7.35,344.77,29.74,7.89,41.41,1.67,19.23,40.71
61,498400,KODEX 200타겟위클리커버드콜,196,171,84.2,96.66,23.8,7.39,344.89,29.74,7.97,41.64,1.68,19.2,40.71
62,293180,HANARO 200,196,172,98.6,96.85,23.85,7.34,344.37,29.75,7.89,41.42,1.68,19.21,40.71
63,295040,SOL 200TR,195,171,93.2,96.8,23.83,7.35,344.68,29.74,7.91,41.56,1.68,19.21,40.71
64,361580,RISE 200TR,196,171,98.5,96.88,23.86,7.34,344.69,29.69,7.88,41.43,1.68,19.21,40.71
65,332930,HANARO 200TR,196,171,98.6,96.76,23.83,7.35,344.24,29.74,7.91,41.4,1.67,19.2,40.71
66,294400,KIWOOM 200TR,196,171,98.4,96.93,23.85,7.35,344.8,29.69,7.88,41.45,1.67,19.22,40.71
67,152870,파워 200,196,172,98.5,96.86,23.86,7.35,344.45,29.7,7.88,41.45,1.67,19.22,40.71
68,069500,KODEX 200,196,172,98.7,96.84,23.85,7.35,344.38,29.75,7.9,41.42,1.68,19.21,40.71
69,0098Z0,FOCUS 200,197,171,98.3,96.87,23.84,7.35,344.57,29.68,7.87,41.46,1.67,19.21,40.71
70,451060,1Q 200액티브,197,172,98.6,96.85,23.84,7.34,344.28,29.68,7.88,41.41,1.68,19.23,40.7
71,152100,PLUS 200,196,172,98.6,96.83,23.84,7.34,344.32,29.74,7.89,41.47,1.67,19.2,40.7
72,148020,RISE 200,196,172,98.6,96.8,23.84,7.36,344.2,29.75,7.91,41.43,1.68,19.22,40.7
73,310960,TIGER 200TR,196,171,97.8,96.83,23.84,7.35,344.5,29.69,7.89,41.47,1.68,19.23,40.7
74,278530,KODEX 200TR,196,171,98.6,96.8,23.83,7.35,344.22,29.67,7.9,41.42,1.68,19.22,40.7
75,0167B0,SOL 200타겟위클리커버드콜,198,172,98.6,96.76,23.78,7.36,344.39,29.7,7.93,41.74,1.68,19.23,40.69
76,326240,RISE IT플러스,118,89,92.3,82.74,24.51,7.39,377.61,33.86,11.57,61.38,2.48,13.01,40.66
77,139260,TIGER 200 IT,16,13,96.0,71.83,23.34,16.7,311.05,27.36,10.2,28.81,1.44,23.24,40.65
