종목코드,종목명,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,평균거래량_20d,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종
5960,동부건설,19000.0,16884.0,17586.0,,,,302.0,-969.0,426.0,,,,4.16,,,,4.16,143.96,,,,143.96,1년치 존재,1,,,10.28,239516.0,up,61.4,10270.0,5250.0,up,bull,,,,,KOSPI,9630,2210,115419,0.5,건설
33530,SJG세종,17923.0,18166.0,18969.0,19435.0,,,519.0,606.0,854.0,910.0,,,4.42,2.46,,,4.42,40.92,6.56,,,40.92,2년치 존재,2,41.06,0.39,14.05,132120.0,up,49.5,10900.0,7120.0,mixed,bull,,,,,KOSPI,7950,2212,162694,1.2,자동차부품
16580,환인제약,2304.0,2596.0,2552.0,2796.0,,,302.0,215.0,130.0,218.0,,,-1.69,9.56,,,9.56,-39.53,67.69,,,67.69,2년치 존재,2,9.4,0.64,3.41,67733.0,up,74.3,11860.0,10030.0,up,bull,,,,,KOSPI,11860,2206,63239,0.9,제약
3547,대신증권2우B,38546.0,40939.0,50639.0,,,,1613.0,836.0,3014.0,3720.0,,,23.69,,,,23.69,260.53,23.42,,,260.53,2년치 존재,2,9.28,0.32,5.06,27431.0,down,41.8,28900.0,21200.0,down,bear_cross,,,,,KOSPI,22500,2206,36729,1.3,증권
1080,만호제강,2193.0,1799.0,1530.0,,,,-124.0,-308.0,-120.0,,,,-14.95,,,,-14.95,61.04,,,,61.04,1년치 존재,1,,0.57,-1.01,31460.0,up,20.6,54400.0,4745.0,,bull,,,,,KOSPI,5300,2200,30737,1.0,철강
39570,HDC랩스,6063.0,6288.0,6457.0,,,,105.0,64.0,106.0,,,,2.69,,,,2.69,65.62,,,,65.62,1년치 존재,1,14.69,0.66,4.6,27597.0,up,57.4,8680.0,8050.0,mixed,bull,,,,,KOSPI,8390,2178,18491,0.7,건설
3650,미창석유,4092.0,4319.0,4055.0,,,,480.0,456.0,346.0,,,,-6.11,,,,-6.11,-24.12,,,,-24.12,1년치 존재,1,2.62,0.3,15.44,2224.0,up,63.7,149200.0,111500.0,mixed,bull,,,,,KOSPI,125100,2176,4774,2.1,화학
7570,일양약품,2667.0,2687.0,2724.0,,,,164.0,96.0,50.0,,,,1.38,,,,1.38,-47.92,,,,-47.92,1년치 존재,1,,1.27,2.92,90155.0,down,31.4,13630.0,11180.0,,,,,,,KOSPI,11250,2147,53503,0.6,제약
3555,LG우,74453.0,71755.0,72525.0,81723.0,,,15890.0,9668.0,9122.0,17085.0,,,1.07,12.68,,,12.68,-5.65,87.29,,,87.29,2년치 존재,2,10.92,0.51,2.64,6930.0,up,59.8,80900.0,63600.0,mixed,bull,,,,,KOSPI,71300,2147,14296,2.1,복합기업
860,강남제비스코,6388.0,6431.0,5986.0,,,,232.0,205.0,83.0,,,,-6.92,,,,-6.92,-59.51,,,,-59.51,1년치 존재,1,8.17,0.22,-0.43,28768.0,up,60.4,18790.0,13620.0,mixed,bull,,,,,KOSPI,16840,2189,30443,1.1,건축자재
81000,일진다이아,1545.0,1571.0,1624.0,,,,-44.0,-46.0,-68.0,,,,3.37,,,,3.37,-47.83,,,,-47.83,1년치 존재,1,20.79,0.51,1.66,43009.0,up,58.1,16570.0,12570.0,up,bull,,,,,KOSPI,14710,2089,80205,1.9,비철금속
140,하이트진로홀딩스,25069.0,25851.0,24845.0,,,,1381.0,2218.0,1833.0,,,,-3.89,,,,-3.89,-17.36,,,,-17.36,1년치 존재,1,230.21,0.36,-0.46,12916.0,down,53.8,10000.0,8830.0,mixed,bull,,,,,KOSPI,9210,2137,18152,1.4,음료
12610,경인양행,3454.0,3742.0,3797.0,,,,-22.0,242.0,163.0,,,,1.47,,,,1.47,-32.64,,,,-32.64,1년치 존재,1,,0.7,2.35,825862.0,up,72.5,5170.0,3685.0,up,bull,,,,,KOSPI,5090,2118,895347,1.1,화학
2990,금호건설,22176.0,19142.0,20185.0,20848.0,,,218.0,-1818.0,471.0,704.0,,,5.45,3.28,,,5.45,125.91,49.47,,,125.91,2년치 존재,2,174.44,0.4,26.79,259600.0,up,57.3,5770.0,4080.0,up,bull,,,,,KOSPI,5530,2046,161860,0.6,건설
1045,CJ우,413527.0,436467.0,450188.0,460100.0,,,20391.0,25323.0,25277.0,28078.0,,,3.14,2.2,,,3.14,-0.18,11.08,,,11.08,2년치 존재,2,17.28,0.57,2.72,2832.0,up,55.1,104300.0,82600.0,mixed,bull,,,,,KOSPI,90100,2036,2631,0.9,복합기업
271980,제일약품,7264.0,7045.0,5672.0,,,,87.0,-189.0,207.0,,,,-19.49,,,,-19.49,209.52,,,,209.52,1년치 존재,1,50.24,1.57,11.71,35867.0,down,51.2,17390.0,13040.0,mixed,bull,,,,,KOSPI,14000,2059,13194,0.4,제약
4090,한국석유,6792.0,7262.0,6969.0,8184.0,,,152.0,188.0,118.0,247.0,,,-4.03,17.43,,,17.43,-37.23,109.32,,,109.32,2년치 존재,2,9.65,0.77,2.59,726307.0,up,45.9,28150.0,14220.0,down,bull,,,,,KOSPI,16040,2036,1262733,1.7,화학
460850,동국씨엠,12661.0,21638.0,27687.0,,,,267.0,773.0,-388.0,,,,27.96,,,,27.96,-150.19,,,,-150.19,1년치 존재,1,12.31,0.22,-5.3,653797.0,up,69.5,7180.0,5140.0,up,bull,,,,,KOSPI,6830,2042,307381,0.5,철강
